11199,8957,8057,8849,12019,7393,11543,12413,11215,10922,7065,1369,941,1219,1003,983,593,9723
-176.0,-8.0,1534.0,736.0,226.0,249.0,585.0,478.0,1031.0,2612.0,3909.0,901.0,502.0,792.0,1028.0,766.0,1380.0,1553.0
-321.0,110.0,477.0,1213.0,-150.0,626.0,1203.0,175.0,176.0,1186.0,1651.0,635.0,749.0,404.0,831.0,776.0,1522.0,1396.0
-280.0,2.0,1165.0,-396.0,-677.0,292.0,-385.0,229.0,-1365.0,1742.0,5466.0,547.0,-189.0,842.0,-328.0,171.0,2314.0,1985.0
-420.0,132.0,571.0,-467.0,-61.0,512.0,1070.0,687.0,-689.0,2344.0,2573.0,555.0,-164.0,399.0,260.0,176.0,1145.0,1390.0
-264.0,84.0,1023.0,292.0,911.0,-199.0,680.0,719.0,-396.0,1745.0,2366.0,655.0,759.0,278.0,56.0,623.0,1461.0,1389.0
-248.0,82.0,623.0,255.0,-599.0,-14.0,-47.0,512.0,-1264.0,723.0,3899.0,191.0,598.0,610.0,117.0,1127.0,2642.0,1943.0
-150.0,120.0,318.0,84.0,-301.0,607.0,1504.0,390.0,53.0,2499.0,3121.0,477.0,276.0,513.0,178.0,678.0,1088.0,1449.0
-204.0,75.0,885.0,978.0,89.0,409.0,862.0,438.0,1100.0,987.0,1810.0,35.0,1288.0,115.0,194.0,1197.0,1476.0,1339.0
-541.0,190.0,441.0,452.0,762.0,1264.0,1091.0,271.0,-1037.0,649.0,3366.0,-119.0,1967.0,3803.0,356.0,247.0,2743.0,2728.0
-566.0,-10.0,1259.0,-9.0,-41.0,480.0,368.0,153.0,-714.0,585.0,4463.0,219.0,-261.0,1841.0,168.0,73.0,1699.0,2071.0
-222.0,29.0,107.0,407.0,536.0,133.0,824.0,235.0,-547.0,791.0,2176.0,622.0,258.0,538.0,634.0,642.0,1267.0,1711.0
-526.0,-9.0,420.0,220.0,-237.0,-237.0,203.0,392.0,-520.0,955.0,3164.0,645.0,-250.0,2433.0,-473.0,531.0,2086.0,2186.0
-362.0,179.0,311.0,517.0,101.0,-96.0,679.0,444.0,-157.0,847.0,2229.0,444.0,702.0,351.0,623.0,739.0,1797.0,1871.0
-598.0,199.0,515.0,-877.0,-996.0,-791.0,-126.0,92.0,-977.0,811.0,2929.0,865.0,-400.0,1143.0,-118.0,699.0,1082.0,1236.0
-418.0,-5.0,564.0,-258.0,-185.0,39.0,999.0,793.0,-1135.0,1577.0,3216.0,822.0,-536.0,733.0,-175.0,666.0,1699.0,1960.0
-99.0,339.0,535.0,276.0,-466.0,-186.0,137.0,414.0,-492.0,1170.0,3218.0,522.0,-88.0,875.0,35.0,878.0,1696.0,1907.0
-252.0,72.0,1131.0,204.0,352.0,398.0,247.0,624.0,-374.0,1962.0,3997.0,559.0,70.0,764.0,151.0,501.0,1360.0,2315.0
-259.0,-109.0,531.0,-370.0,-1200.0,-803.0,-542.0,0.0,-92.0,407.0,309.0,-230.0,589.0,298.0,-117.0,238.0,322.0,253.0
