0,6185,4365,8850,299,942,1002,344,8814,7581,10532,679,6538
-54.0,573.0,2687.0,1623.0,3258.0,783.0,2310.0,968.0,-4180.0,2117.0,8863.0,1261.0,752.0
-42.0,622.0,2710.0,1537.0,3063.0,1826.0,2555.0,693.0,-3992.0,1228.0,5024.0,1453.0,258.0
-35.0,450.0,2415.0,1015.0,1985.0,1033.0,1790.0,1151.0,-3397.0,1817.0,7966.0,1629.0,1265.0
-42.0,552.0,2546.0,880.0,2525.0,555.0,858.0,541.0,-2600.0,768.0,4382.0,885.0,1131.0
6.0,558.0,2189.0,992.0,1556.0,732.0,1286.0,626.0,-3226.0,1082.0,5432.0,1282.0,426.0
-14.0,591.0,2221.0,104.0,2720.0,700.0,1783.0,1098.0,-4135.0,1925.0,8070.0,1987.0,869.0
-21.0,312.0,2064.0,676.0,2794.0,677.0,1032.0,772.0,-4066.0,1940.0,6706.0,828.0,1207.0
-10.0,465.0,2202.0,838.0,2403.0,1365.0,1914.0,828.0,-3843.0,1055.0,4918.0,1463.0,267.0
-89.0,450.0,2214.0,1178.0,2728.0,1473.0,2748.0,1710.0,-3002.0,2596.0,4570.0,45.0,1280.0
-28.0,712.0,2831.0,1474.0,2693.0,1131.0,1767.0,574.0,-2867.0,2032.0,6348.0,322.0,1250.0
-13.0,495.0,1979.0,717.0,1783.0,574.0,1855.0,94.0,-3089.0,1158.0,5648.0,1391.0,483.0
-40.0,590.0,2417.0,1333.0,3053.0,1240.0,2091.0,969.0,-3014.0,1537.0,4521.0,967.0,2358.0
-89.0,757.0,2451.0,1258.0,3431.0,1280.0,2253.0,436.0,-3465.0,1166.0,5790.0,1599.0,637.0
-20.0,651.0,2194.0,749.0,1566.0,832.0,1087.0,628.0,-2844.0,500.0,4132.0,247.0,2418.0
19.0,492.0,2156.0,1501.0,2538.0,1158.0,2857.0,383.0,-3078.0,839.0,5655.0,1517.0,1262.0
-33.0,413.0,2607.0,1152.0,2771.0,552.0,2085.0,781.0,-3642.0,1701.0,6798.0,1627.0,1450.0
-26.0,683.0,2545.0,1433.0,2083.0,1472.0,2139.0,959.0,-4367.0,2208.0,7842.0,814.0,903.0
-28.0,531.0,2554.0,986.0,1946.0,-17.0,785.0,-49.0,-1993.0,-471.0,1543.0,-551.0,4403.0
-43.0,551.0,2179.0,802.0,1575.0,659.0,1867.0,631.0,-3412.0,1031.0,5614.0,703.0,1091.0
-43.0,594.0,2151.0,911.0,3237.0,711.0,2274.0,389.0,-3362.0,952.0,5860.0,1146.0,1335.0
-73.0,501.0,2676.0,1568.0,2633.0,1874.0,3052.0,706.0,-3939.0,2033.0,6834.0,1801.0,1080.0
2.0,549.0,2247.0,668.0,2115.0,592.0,1101.0,633.0,-3742.0,1846.0,6687.0,786.0,892.0
