6184,4482,8057,8849,4364,8630,7393,9621,8386,11543,11215,10922,287,7065,145,8551,994,715,1003,90,328,695
207.0,878.0,1309.0,1259.0,453.0,463.0,480.0,638.0,422.0,669.0,-50.0,1840.0,3185.0,266.0,977.0,554.0,320.0,23.0,641.0,6916.0,398.0,373.0
226.0,268.0,1039.0,1037.0,327.0,180.0,272.0,214.0,319.0,897.0,-596.0,1099.0,1174.0,126.0,343.0,355.0,401.0,-171.0,458.0,3084.0,790.0,341.0
150.0,185.0,1147.0,408.0,-243.0,-243.0,851.0,87.0,-40.0,-32.0,-1245.0,1760.0,2076.0,-270.0,181.0,163.0,608.0,-918.0,897.0,8819.0,-10.0,1445.0
281.0,367.0,239.0,859.0,-116.0,311.0,716.0,75.0,132.0,766.0,-570.0,1272.0,2684.0,-135.0,-25.0,189.0,276.0,-155.0,341.0,6305.0,354.0,555.0
511.0,621.0,923.0,679.0,206.0,380.0,626.0,184.0,139.0,393.0,-897.0,1020.0,940.0,51.0,601.0,9.0,365.0,25.0,363.0,3853.0,418.0,425.0
270.0,43.0,868.0,707.0,357.0,-196.0,377.0,-189.0,137.0,555.0,-196.0,975.0,-148.0,-181.0,304.0,459.0,486.0,-756.0,961.0,6118.0,-172.0,2192.0
74.0,257.0,487.0,1265.0,221.0,272.0,389.0,497.0,68.0,821.0,-136.0,1992.0,2673.0,-58.0,492.0,370.0,381.0,-139.0,335.0,5442.0,437.0,469.0
472.0,291.0,1073.0,883.0,680.0,249.0,544.0,422.0,307.0,705.0,-32.0,156.0,-23.0,-8.0,-231.0,-57.0,508.0,684.0,245.0,2619.0,563.0,553.0
613.0,728.0,1055.0,1150.0,123.0,713.0,1040.0,133.0,1126.0,-218.0,-200.0,209.0,1586.0,-184.0,225.0,2042.0,830.0,-1507.0,3757.0,9615.0,1735.0,1711.0
555.0,257.0,865.0,812.0,291.0,296.0,567.0,-178.0,108.0,271.0,-719.0,753.0,3266.0,-76.0,40.0,1163.0,625.0,-354.0,1493.0,8568.0,834.0,649.0
198.0,221.0,454.0,390.0,196.0,414.0,388.0,192.0,308.0,1041.0,-1011.0,758.0,1025.0,92.0,350.0,204.0,259.0,-211.0,532.0,4090.0,528.0,276.0
331.0,340.0,850.0,-45.0,-138.0,150.0,603.0,-48.0,386.0,203.0,-491.0,-174.0,1942.0,-87.0,440.0,1599.0,517.0,-961.0,1801.0,9238.0,604.0,1041.0
426.0,298.0,577.0,851.0,405.0,47.0,470.0,-80.0,-39.0,443.0,-593.0,876.0,1367.0,292.0,667.0,548.0,364.0,-728.0,559.0,3875.0,792.0,392.0
238.0,685.0,881.0,162.0,-230.0,-236.0,256.0,-260.0,141.0,-26.0,-475.0,-90.0,1563.0,-187.0,403.0,917.0,499.0,416.0,905.0,8808.0,-299.0,980.0
384.0,419.0,745.0,1031.0,553.0,176.0,1000.0,479.0,96.0,649.0,-629.0,284.0,1689.0,-234.0,320.0,647.0,191.0,98.0,679.0,6344.0,294.0,772.0
270.0,490.0,648.0,740.0,155.0,105.0,808.0,-225.0,234.0,402.0,-931.0,446.0,1060.0,51.0,464.0,425.0,260.0,472.0,959.0,7286.0,32.0,1071.0
388.0,488.0,1181.0,730.0,-370.0,522.0,618.0,304.0,-53.0,390.0,-873.0,1672.0,2935.0,229.0,642.0,632.0,470.0,369.0,847.0,6756.0,1029.0,525.0
221.0,152.0,-52.0,-31.0,-147.0,15.0,65.0,-61.0,61.0,-244.0,-792.0,-487.0,138.0,-174.0,142.0,622.0,313.0,-341.0,403.0,2247.0,18.0,36.0
107.0,354.0,640.0,608.0,-137.0,195.0,285.0,443.0,225.0,724.0,-739.0,1140.0,2330.0,191.0,477.0,456.0,282.0,-342.0,279.0,4742.0,464.0,281.0
379.0,365.0,768.0,2309.0,547.0,290.0,531.0,183.0,49.0,819.0,-1030.0,704.0,1619.0,-72.0,431.0,273.0,525.0,-468.0,232.0,5495.0,225.0,318.0
418.0,508.0,885.0,519.0,199.0,533.0,489.0,-151.0,449.0,180.0,-937.0,398.0,687.0,261.0,481.0,569.0,612.0,-1072.0,802.0,4413.0,811.0,1059.0
